Town,Sanders,Buttigieg,Klobuchar,Warren,Rpt.
Manchester,6375,4205,3638,1771,100%
Nashua,4863,4296,3178,1546,100
Concord,3066,2531,2573,1220,100
Dover,2802,1958,1462,962,100
Portsmouth,1937,1716,1628,974,100
Keene,2349,1470,1150,746,100
Merrimack,1254,1502,1287,495,100
Derry,1585,1436,884,420,100
Hanover,1078,1397,1064,973,100
Rochester,1474,1238,963,426,100
Bedford,830,1302,1385,401,100
Exeter,983,1309,1156,576,100
Durham,1660,1119,754,611,100
Londonderry,1011,1381,1031,408,100
Salem,1164,1381,792,308,100
Lebanon,1078,1075,710,736,100
Hudson,968,1174,771,310,100
Hampton,782,1048,898,295,100
Goffstown,812,926,756,281,100
Amherst,589,1005,893,306,100
Milford,898,967,587,276,100
Newmarket,891,740,477,311,100
Windham,456,883,644,208,100
Laconia,651,674,562,206,100
Hooksett,678,654,664,166,100
Peterborough,661,555,505,299,100
Bow,405,657,600,247,100
Somersworth,697,492,340,181,100
Hollis,380,650,558,239,100
Stratham,366,677,521,226,100
Pelham,522,594,377,144,100
Conway,587,534,379,172,100
Barrington,587,553,404,207,100
Claremont,674,516,260,161,100
Hopkinton,417,518,506,235,100
Rye,281,427,466,174,100
Plymouth,726,419,164,158,100
Berlin,479,344,249,126,100
Wolfeboro,275,472,401,143,100
Gilford,331,431,341,111,100
Hampstead,335,476,346,118,100
Litchfield,300,435,352,106,100
Weare,420,360,350,110,100
Raymond,391,378,279,136,100
Pembroke,376,440,298,104,100
Lee,371,346,341,177,100
Swanzey,396,305,326,108,100
New London,248,433,417,120,100
Epping,383,363,250,115,100
Meredith,244,371,362,124,100
Atkinson,277,410,285,113,100
Plaistow,331,375,221,97,100
Brookline,291,380,217,152,100
Franklin,346,342,197,93,100
North Hampton,223,337,291,129,100
New Boston,300,295,294,109,100
Nottingham,342,283,230,115,100
Belmont,301,298,250,60,100
Greenland,222,323,271,99,100
Grantham,213,338,292,145,100
Seabrook,243,325,165,96,100
Jaffrey,331,264,217,102,100
Enfield,292,311,205,135,100
Henniker,319,236,250,107,100
Auburn,253,319,271,85,100
Kingston,296,285,227,82,100
Walpole,284,301,244,88,100
Loudon,244,265,205,55,100
Sandown,271,334,188,64,100
Brentwood,205,323,203,100,100
Hillsborough,272,245,187,78,100
Chesterfield,288,240,215,120,100
Littleton,361,225,152,100,100
Chester,217,311,218,49,100
Wilton,299,225,192,92,100
Moultonborough,190,285,243,63,100
Rindge,325,207,180,56,100
Strafford,268,230,204,76,100
Farmington,294,189,139,77,100
Deerfield,214,228,243,67,100
Bartlett,219,214,220,81,100
Northwood,280,224,187,74,100
Newton,230,275,145,69,100
Newport,229,223,150,100,100
Plainfield,190,272,161,123,100
Alton,170,217,202,72,100
Sunapee,186,190,222,77,100
Fremont,188,221,187,42,100
Warner,230,184,175,81,100
Charlestown,320,162,123,63,100
Campton,239,190,153,92,100
Lyme,175,191,190,152,100
Canterbury,172,182,192,95,100
Allenstown,223,183,148,41,100
Barnstead,251,151,143,68,100
Candia,162,158,189,52,100
Canaan,218,204,119,86,100
Epsom,167,178,179,62,100
Mont Vernon,142,196,183,89,100
Northfield,210,193,130,53,100
Bethlehem,291,143,91,94,100
Danville,201,213,137,26,100
Gilmanton,209,158,144,56,100
Wakefield,186,188,135,51,100
New Ipswich,186,205,137,35,100
Rollinsford,234,159,119,53,100
Hinsdale,271,122,92,49,100
Milton,195,156,145,39,100
Hancock,142,187,165,84,100
Madison,142,188,160,54,100
Winchester,255,101,133,45,100
Tilton,171,154,134,51,100
Thornton,155,152,144,48,100
Andover,179,138,135,61,100
Madbury,158,165,129,63,100
Sanbornton,190,141,139,0,100
Tamworth,194,122,132,85,100
Holderness,140,162,121,70,100
Dunbarton,126,145,169,46,100
Marlborough,158,153,122,71,100
Boscawen,187,149,113,45,100
Ossipee,171,129,118,28,100
Newbury,118,153,146,54,100
Gorham,169,133,107,45,100
Antrim,186,116,105,62,100
Haverhill,213,124,80,48,100
Chichester,120,130,135,39,100
Kensington,130,146,119,56,100
Tuftonboro,92,175,135,36,100
Sutton,143,130,122,55,100
Bristol,162,115,117,48,100
Newfields,115,146,132,47,100
Pittsfield,178,111,75,52,100
East Kingston,111,139,117,49,100
Hampton Falls,95,132,120,60,100
Westmoreland,142,154,108,44,100
Sandwich,114,105,173,62,100
Dublin,140,101,92,85,100
Lancaster,158,96,111,38,100
New Hampton,117,167,97,33,100
Alstead,164,113,106,45,100
Cornish,123,128,108,53,100
New Durham,115,96,134,37,100
Fitzwilliam,146,72,107,50,100
Harrisville,127,82,133,46,100
Whitefield,163,80,83,35,100
Webster,100,106,119,26,100
Franconia,126,78,93,74,100
Wilmot,93,128,112,31,100
Ashland,143,103,62,35,100
Francestown,108,83,108,46,100
Jackson,116,97,113,46,100
New Castle,47,98,125,38,100
Bradford,109,102,76,45,100
Temple,126,96,88,49,100
Troy,128,76,63,17,100
Freedom,74,134,69,21,100
Orford,85,83,75,49,100
Deering,103,53,79,30,100
Springfield,77,96,57,32,100
Greenville,112,67,44,22,100
Alexandria,91,67,70,19,100
Rumney,105,72,65,39,100
Woodstock,81,83,55,31,100
Bennington,107,70,42,23,100
Salisbury,75,91,49,15,100
Stoddard,74,45,64,21,100
Lincoln,81,50,50,31,100
Northumberland,100,54,44,19,100
Mason,79,71,47,23,100
Colebrook,76,66,41,16,100
Effingham,61,58,55,15,100
Middleton,57,57,42,20,100
Newington,62,50,54,19,100
Center Harbor,53,50,64,16,100
South Hampton,51,66,46,33,100
Bridgewater,69,52,43,30,100
Unity,91,48,38,9,100
Milan,69,45,49,14,100
Lisbon,72,56,33,17,100
Grafton,66,48,33,21,100
Nelson,94,28,44,24,100
Richmond,50,53,44,24,100
Sugar Hill,46,60,45,25,100
Danbury,65,48,32,12,100
Acworth,91,40,33,19,100
Surry,47,56,55,20,100
Lempster,60,35,44,16,100
Gilsum,72,39,33,10,100
Carroll,51,40,29,26,100
Albany,69,29,36,19,100
Bath,52,37,29,23,100
Hill,38,38,35,11,100
Jefferson,40,43,25,10,100
Monroe,44,43,14,44,100
Wentworth,39,37,29,23,100
Piermont,47,41,30,16,100
Dalton,48,49,28,3,100
Hebron,16,36,53,15,100
Brookfield,38,43,36,9,100
Sullivan,44,29,35,20,100
Warren,47,36,15,16,100
Waterville Valley,28,24,39,13,100
Langdon,43,31,35,11,100
Randolph,25,21,30,21,100
Goshen,38,30,25,10,100
Eaton,45,26,31,10,100
Croydon,30,41,21,8,100
Lyman,41,19,27,13,100
Sharon,27,31,28,12,100
Stratford,37,16,12,7,100
Shelburne,20,18,25,12,100
Groton,30,19,17,4,100
Landaff,28,14,17,10,100
Columbia,27,14,23,6,100
Stark,23,8,14,3,100
Pittsburg,9,16,0,4,100
Orange,24,11,15,9,100
Roxbury,24,9,17,5,100
Stewartstown,27,14,7,1,100
Benton,27,7,3,4,100
Errol,9,15,11,1,100
Dummer,16,8,11,3,100
Clarksville,13,11,7,5,100
Ellsworth,8,5,5,0,100
Hale's Location,5,5,8,2,100
Windsor,5,7,2,4,100
Hart's Location,2,0,6,4,100
Millsfield,1,1,2,0,100
Dixville,1,1,0,0,100
Wentworth's Location,0,1,1,0,
